feature,split_importance,gain_importance,rank_gain
ventilated_apache,165,190141.62428987026,1
apache_3j_diagnosis,1120,92089.20924256742,2
gcs_motor_apache,275,92059.49583560228,3
age,1162,76620.76871537045,4
d1_sysbp_min,584,71179.05789082497,5
d1_lactate_min,645,67904.77060902119,6
d1_spo2_min,695,62028.798882871866,7
d1_bun_max,520,61232.608698397875,8
d1_bun_min,461,48023.715072633386,9
gcs_verbal_apache,252,37701.907918035984,10
d1_heartrate_min,873,33766.64372501988,11
d1_heartrate_max,666,32947.936169311404,12
pre_icu_los_days,955,30200.214385703206,13
d1_sysbp_noninvasive_min,316,29806.412951886654,14
d1_arterial_ph_min,391,25736.798364281654,15
d1_lactate_max,387,25200.618136674166,16
gcs_eyes_apache,229,23173.70864570141,17
d1_resprate_max,571,22965.066470742226,18
d1_resprate_min,496,22824.736432477832,19
elective_surgery,89,22746.7624874115,20
d1_temp_min,509,22534.189793601632,21
d1_arterial_po2_max_missing,24,20578.632826566696,22
apache_2_diagnosis,646,19799.95775449276,23
d1_platelets_min,587,19481.638913944364,24
d1_temp_max,643,18367.20778685808,25
d1_albumin_min,316,16897.584411621094,26
d1_pao2fio2ratio_min,375,16752.935441076756,27
bmi,682,16393.999538950622,28
d1_wbc_min,514,15241.883754864335,29
urineoutput_apache,544,15149.678975880146,30
d1_mbp_min,435,15007.969487160444,31
h1_resprate_min,419,14637.609815813601,32
weight,677,13653.436304025352,33
d1_pao2fio2ratio_max,341,13228.911280572414,34
d1_glucose_min,631,12685.662975974381,35
d1_creatinine_max,491,12392.940594092011,36
bun_apache,347,11898.119775533676,37
d1_sodium_max,453,11872.211941450834,38
d1_glucose_max,638,11145.736249096692,39
heart_rate_apache,554,11063.130862947553,40
d1_hco3_min,421,10873.09126346372,41
temp_apache,431,10504.361271113157,42
d1_sysbp_max,474,10471.65860709548,43
resprate_apache,464,9975.732807531953,44
d1_inr_min,255,9956.505052387714,45
glucose_apache,555,9713.28417479992,46
creatinine_apache,479,9703.249703241454,47
d1_inr_max,266,9518.73859923333,48
d1_wbc_max,423,9309.997201427817,49
d1_hco3_max,469,9075.081598684192,50
d1_platelets_max,494,8927.491788672283,51
d1_bilirubin_min,248,8907.675816953182,52
apache_3j_bodysystem_Metabolic,88,8681.15822315216,53
d1_creatinine_min,443,8195.649038106203,54
h1_heartrate_min,530,8012.735656313598,55
d1_mbp_noninvasive_min,293,7831.910985622555,56
d1_hemaglobin_max,382,7765.839055750519,57
d1_hemaglobin_min,340,7535.070342093706,58
h1_resprate_max,344,7386.264302536845,59
map_apache,441,7338.47765545547,60
d1_albumin_max,238,7190.215638041496,61
solid_tumor_with_metastasis,131,7072.24223613739,62
h1_heartrate_max,457,6990.9406452775,63
d1_arterial_po2_min,322,6917.652736708522,64
d1_arterial_pco2_min,279,6868.530268797185,65
d1_calcium_min,418,6697.899028777145,66
wbc_apache,392,6664.147723779082,67
d1_sysbp_noninvasive_max,288,6492.331073325127,68
height,461,6361.866781339049,69
d1_arterial_ph_max,365,6172.309038937092,70
age_missing,139,5917.142572879791,71
d1_potassium_min,376,5893.346910119057,72
apache_3j_bodysystem_Neurological,127,5866.845532417297,73
d1_potassium_max,357,5824.88580280263,74
d1_hematocrit_min,356,5808.786767153069,75
d1_arterial_pco2_max,272,5543.450136242434,76
d1_diasbp_min,303,5510.9468585550785,77
bilirubin_apache,210,5217.865760147572,78
d1_hematocrit_max,350,5213.643984884024,79
d1_bilirubin_max,173,5206.611464440823,80
gcs_eyes_apache_missing,60,5090.933835983276,81
h1_sysbp_min,293,5061.456855900586,82
h1_temp_max,292,5026.265455616638,83
d1_sysbp_invasive_min,242,4978.695342183113,84
d1_mbp_max,328,4894.18887764588,85
