feature,mean_abs_shap,rank
age,0.4840752281717879,1
ventilated_apache,0.39603091935198165,2
apache_3j_diagnosis,0.27046061969738067,3
d1_spo2_min,0.18809461067981267,4
gcs_motor_apache,0.16748813816858765,5
d1_heartrate_min,0.15636378337555373,6
d1_resprate_max,0.154597231337697,7
icu_id,0.1465497054006556,8
d1_heartrate_max,0.14581112937777702,9
d1_bun_max,0.14512291993498114,10
d1_bun_min,0.11648749336317878,11
d1_sysbp_min,0.11181611764703672,12
gcs_verbal_apache,0.10923025471675635,13
d1_wbc_min,0.10749268868110326,14
pre_icu_los_days,0.09519902411062757,15
d1_platelets_min,0.08162478368179496,16
d1_hemaglobin_min,0.08142910673677808,17
d1_glucose_min,0.07822488856395511,18
d1_mbp_min,0.07448443005526419,19
gcs_eyes_apache,0.07395499022444998,20
d1_resprate_min,0.0725892251517034,21
d1_temp_min,0.07236300861131366,22
d1_temp_max,0.06654814031609975,23
apache_2_diagnosis,0.06265910900396442,24
bmi,0.05795127646510091,25
apache_3j_bodysystem_Metabolic,0.05746640758001194,26
heart_rate_apache,0.05653057768323667,27
weight,0.05620357472492085,28
h1_resprate_min,0.056165872004435104,29
d1_sodium_max,0.05608318263816893,30
d1_hco3_min,0.05297314900690277,31
h1_heartrate_min,0.05168491127607568,32
h1_temp_min,0.05146163644472623,33
d1_glucose_max,0.051346402662695856,34
d1_wbc_max,0.04804098024224071,35
d1_hco3_max,0.046332019523987945,36
d1_hemaglobin_max,0.04545635644757276,37
elective_surgery,0.04327951410512515,38
d1_creatinine_max,0.04207601312200828,39
bun_apache,0.04156541454270467,40
apache_3j_bodysystem_Cardiovascular,0.04004428158751789,41
d1_potassium_max,0.03850507246476361,42
map_apache,0.03811966840149513,43
h1_heartrate_max,0.03745816905000414,44
d1_sysbp_max,0.03745282999276829,45
h1_mbp_min,0.03718718069251506,46
temp_apache,0.036168273322171866,47
d1_platelets_max,0.03554763724429757,48
icu_admit_source_Operating Room / Recovery,0.03495918770105199,49
resprate_apache,0.03367483715582509,50
h1_resprate_max,0.03342691363703976,51
d1_mbp_noninvasive_min,0.03290065421221139,52
d1_creatinine_min,0.03223703710568512,53
apache_2_bodysystem_Metabolic,0.03183049344865921,54
glucose_apache,0.031148744514237933,55
wbc_apache,0.0310341541862827,56
d1_sysbp_noninvasive_max,0.03076692159994458,57
icu_type_Med-Surg ICU,0.029824131682745322,58
creatinine_apache,0.02980692530533396,59
d1_potassium_min,0.02743066858464226,60
h1_temp_max,0.027160587341560755,61
d1_sysbp_noninvasive_min,0.027135427451656847,62
gender_M,0.026390909722715256,63
h1_mbp_noninvasive_max,0.026360627395491425,64
d1_calcium_min,0.025821332398341272,65
h1_mbp_max,0.024780880947485956,66
h1_mbp_noninvasive_min,0.024695080686328755,67
hematocrit_apache,0.024353586201269223,68
age_missing,0.02432039737132478,69
height,0.023973349818996858,70
d1_hematocrit_min,0.023931404820079244,71
diabetes_mellitus,0.023581925239506547,72
apache_3j_bodysystem_Neurological,0.02331958857876825,73
