rank,feature,mean_abs_shap
1,age,0.4840752281717879
2,ventilated_apache,0.3960309193519816
3,apache_3j_diagnosis,0.2704606196973806
4,d1_spo2_min,0.1880946106798126
5,gcs_motor_apache,0.1674881381685876
6,d1_heartrate_min,0.1563637833755537
7,d1_resprate_max,0.154597231337697
8,icu_id,0.1465497054006556
9,d1_heartrate_max,0.145811129377777
10,d1_bun_max,0.1451229199349811
11,d1_bun_min,0.1164874933631787
12,d1_sysbp_min,0.1118161176470367
13,gcs_verbal_apache,0.1092302547167563
14,d1_wbc_min,0.1074926886811032
15,pre_icu_los_days,0.0951990241106275
16,d1_platelets_min,0.0816247836817949
17,d1_hemaglobin_min,0.081429106736778
18,d1_glucose_min,0.0782248885639551
19,d1_mbp_min,0.0744844300552641
20,gcs_eyes_apache,0.0739549902244499
