rank,feature_1,feature_2,mean_abs_interaction,mean_signed_interaction,median_signed_interaction
1,ventilated_apache,elective_surgery,0.02562638282468467,-0.006751392732210595,-0.012453449234341944
2,ventilated_apache,apache_3j_diagnosis,0.023767072144115726,-0.0041768027768758235,-0.011264240071603312
3,age,d1_heartrate_max,0.012215785256174895,-0.002328619890493545,-0.003803962079417803
4,ventilated_apache,d1_bun_min,0.011514219776187471,-0.0008828633671498621,-0.004119084574918823
5,apache_3j_diagnosis,gcs_motor_apache,0.01023427876480735,-0.00037543884186383593,-0.0038850870103428227
6,age,ventilated_apache,0.009732671406720565,-3.7835735234205325e-05,0.0003633317596276449
7,ventilated_apache,gcs_motor_apache,0.00920226212891291,0.004078179281188334,0.005452874595074387
8,apache_3j_diagnosis,elective_surgery,0.008261245735595911,0.004466255895697925,0.003716324326071601
9,ventilated_apache,gcs_verbal_apache,0.008020166649434977,-0.0039943617704094984,-0.0025803258865971096
10,d1_bun_max,gcs_motor_apache,0.00728669766475304,-0.0013135529012038747,0.0006493288213593523
11,gcs_verbal_apache,d1_heartrate_max,0.006856033234321538,-0.002288873393152267,-0.003610647783884741
12,apache_3j_diagnosis,d1_wbc_min,0.006506016757126547,-0.0013618161092618887,-0.0030492965971564397
13,age,elective_surgery,0.0064529915205993466,-0.0006912797916774651,0.000647976300346262
14,age,gcs_motor_apache,0.006319372776342234,-8.50662372501039e-06,-6.981563000421542e-05
15,d1_spo2_min,gcs_motor_apache,0.006155524716122757,-0.002027039556505177,-0.0013726153218238172
16,ventilated_apache,d1_sysbp_min,0.00600717776221039,-0.0006784825466836407,0.0005893287774565016
17,ventilated_apache,d1_resprate_max,0.0059479360296551195,-0.0007155932799137206,-0.0014585172891646184
18,age,d1_heartrate_min,0.0054112861782034255,-0.0006867281199362181,-0.0012780495733582865
19,ventilated_apache,d1_bun_max,0.005324071087291603,-0.0005086061543762485,-0.000533027561530923
20,d1_bun_min,d1_sysbp_min,0.004868709119980203,-0.0002981976822583573,0.0010408741202028219
21,d1_resprate_max,d1_resprate_min,0.004601085190789102,0.0019008825126204216,0.0020825629692339557
22,apache_3j_diagnosis,d1_spo2_min,0.004581479296946037,-0.00014134731491382126,-0.0009717818811659346
23,gcs_verbal_apache,d1_resprate_max,0.004485704666841724,-0.0008766039431730518,-0.000290653763583541
24,age,d1_lactate_min,0.00438448800889812,-0.00022491854413603314,-0.0001572068906843744
25,ventilated_apache,d1_spo2_min,0.004340289968214102,-0.0013445058380925576,-8.259627498386908e-05
26,d1_bun_max,gcs_verbal_apache,0.004314907811139787,-0.0009317147799223054,-0.0002808757373459764
27,d1_bun_max,d1_sysbp_min,0.0042761959050818055,0.0002425785506752054,0.00025873378590418605
28,gcs_motor_apache,d1_heartrate_max,0.004178105712183576,-0.001403090456900431,-0.0013676099830571263
29,d1_bun_max,d1_spo2_min,0.0041665859076480205,-0.0005463978185380173,0.0005459566094274963
30,age,apache_3j_diagnosis,0.004069548608861573,-0.00035159098149692295,-0.0002776005142528305
31,age,d1_sysbp_min,0.004030358088942704,-0.0003635229481571065,-0.0008010510469923771
32,ventilated_apache,d1_heartrate_max,0.004019352677172471,-0.0010067642044973915,-0.001473951711940408
33,apache_3j_diagnosis,gcs_verbal_apache,0.0040171401269831165,-0.00016210237516936697,-0.0012777976643840142
34,apache_3j_diagnosis,gcs_eyes_apache,0.003958332007050005,-0.00027480301337115147,-0.0013547291019151168
35,ventilated_apache,d1_lactate_min,0.0038310772495767924,-0.001379444093019626,0.0003186668989434764
36,age,d1_resprate_max,0.0038129439552020933,-6.154263617966673e-05,-0.00011555757793473088
37,ventilated_apache,urineoutput_apache,0.0037986555637861768,-0.0006157275830285186,0.0009828347398735705
38,d1_spo2_min,d1_sysbp_min,0.0037525925556836405,0.0009137518925982258,0.0017925496336664037
39,age,d1_bun_min,0.003749731169576527,-0.0011705134063840436,-0.001103109101638141
40,d1_heartrate_min,urineoutput_apache,0.003734686260238072,0.0005848693071811054,0.0005582761946483453
