rank,feature,mean_abs_shap
1,age,0.4293240405588565
2,ventilated_apache,0.2777514159402276
3,apache_3j_diagnosis,0.23207627841453007
4,d1_bun_max,0.1387672470187992
5,d1_spo2_min,0.13772180231006287
6,gcs_motor_apache,0.13075615445639674
7,gcs_verbal_apache,0.12371566905669028
8,d1_heartrate_min,0.11981549121095163
9,d1_heartrate_max,0.11977928859143742
10,d1_resprate_max,0.11840194651507681
11,d1_bun_min,0.11444781866711667
12,urineoutput_apache,0.09528738567540958
13,d1_sysbp_min,0.09342149098998147
14,pre_icu_los_days,0.08575797264375261
15,d1_wbc_min,0.08108947007010449
16,elective_surgery,0.08092929992595387
17,d1_resprate_min,0.0751432360537355
18,d1_lactate_min,0.07461585556383121
19,d1_hemaglobin_max,0.06458088269721564
20,gcs_eyes_apache,0.06286507821908716
