feature,mean_abs_shap
age,0.4840752281717879
ventilated_apache,0.39603091935198165
apache_3j_diagnosis,0.27046061969738067
d1_spo2_min,0.18809461067981267
gcs_motor_apache,0.16748813816858765
d1_heartrate_min,0.15636378337555373
d1_resprate_max,0.154597231337697
icu_id,0.1465497054006556
d1_heartrate_max,0.14581112937777702
d1_bun_max,0.14512291993498114
d1_bun_min,0.11648749336317878
d1_sysbp_min,0.11181611764703672
gcs_verbal_apache,0.10923025471675635
d1_wbc_min,0.10749268868110326
pre_icu_los_days,0.09519902411062757
d1_platelets_min,0.08162478368179496
d1_hemaglobin_min,0.08142910673677808
d1_glucose_min,0.07822488856395511
d1_mbp_min,0.07448443005526419
gcs_eyes_apache,0.07395499022444998
d1_resprate_min,0.0725892251517034
d1_temp_min,0.07236300861131366
d1_temp_max,0.06654814031609975
apache_2_diagnosis,0.06265910900396442
bmi,0.05795127646510091
apache_3j_bodysystem_Metabolic,0.05746640758001194
heart_rate_apache,0.05653057768323667
weight,0.05620357472492085
h1_resprate_min,0.056165872004435104
d1_sodium_max,0.05608318263816893
d1_hco3_min,0.05297314900690277
h1_heartrate_min,0.05168491127607568
h1_temp_min,0.05146163644472623
d1_glucose_max,0.051346402662695856
d1_wbc_max,0.04804098024224071
d1_hco3_max,0.046332019523987945
d1_hemaglobin_max,0.04545635644757276
elective_surgery,0.04327951410512515
d1_creatinine_max,0.04207601312200828
bun_apache,0.04156541454270467
apache_3j_bodysystem_Cardiovascular,0.04004428158751789
d1_potassium_max,0.03850507246476361
map_apache,0.03811966840149513
h1_heartrate_max,0.03745816905000414
d1_sysbp_max,0.03745282999276829
h1_mbp_min,0.03718718069251506
temp_apache,0.036168273322171866
d1_platelets_max,0.03554763724429757
icu_admit_source_Operating Room / Recovery,0.03495918770105199
resprate_apache,0.03367483715582509
h1_resprate_max,0.03342691363703976
d1_mbp_noninvasive_min,0.03290065421221139
d1_creatinine_min,0.03223703710568512
apache_2_bodysystem_Metabolic,0.03183049344865921
glucose_apache,0.031148744514237933
wbc_apache,0.0310341541862827
d1_sysbp_noninvasive_max,0.03076692159994458
icu_type_Med-Surg ICU,0.029824131682745322
creatinine_apache,0.02980692530533396
d1_potassium_min,0.02743066858464226
h1_temp_max,0.027160587341560755
d1_sysbp_noninvasive_min,0.027135427451656847
gender_M,0.026390909722715256
h1_mbp_noninvasive_max,0.026360627395491425
d1_calcium_min,0.025821332398341272
h1_mbp_max,0.024780880947485956
h1_mbp_noninvasive_min,0.024695080686328755
hematocrit_apache,0.024353586201269223
age_missing,0.02432039737132478
height,0.023973349818996858
d1_hematocrit_min,0.023931404820079244
diabetes_mellitus,0.023581925239506547
apache_3j_bodysystem_Neurological,0.02331958857876825
apache_2_bodysystem_Undefined diagnoses,0.02321934991669
d1_diasbp_noninvasive_max,0.022862954782882226
ethnicity_African American,0.02269228004305227
d1_diasbp_min,0.02215284774518432
sodium_apache,0.021833925865200755
h1_sysbp_noninvasive_max,0.020893476949207956
h1_spo2_min,0.020584836522323204
d1_diasbp_noninvasive_min,0.02041803293556536
d1_spo2_max,0.02033246206937444
h1_sysbp_max,0.02027404139662279
h1_diasbp_min,0.02012865090027403
h1_diasbp_noninvasive_max,0.020033003767808633
d1_hematocrit_max,0.019996110225791976
solid_tumor_with_metastasis,0.01945780802057067
d1_sodium_min,0.0192748680466922
d1_calcium_max,0.018629963534599288
intubated_apache,0.018623307324164454
d1_mbp_max,0.017139953129144903
d1_diasbp_max,0.015803577107051953
h1_diasbp_max,0.015744118017239177
icu_type_CSICU,0.015441759633906989
gender_F,0.014735930909788133
apache_2_bodysystem_Cardiovascular,0.014504283773405848
d1_creatinine_max_missing,0.014412062527266654
h1_spo2_max,0.014308810457424829
d1_mbp_noninvasive_max,0.014153286663858953
h1_sysbp_min,0.014012322288992525
h1_sysbp_noninvasive_min,0.012604502707965858
h1_diasbp_noninvasive_min,0.011966895604396456
hospital_admit_source_Direct Admit,0.011628022121805462
icu_admit_source_Floor,0.011586347289045918
hospital_admit_source_missing,0.010891603663492587
